time,signal
0.1,0.309016994
0.2,0.587785252
0.3,0.809016994
0.4,0.951056516
0.5,1
0.6,0.951056516
0.7,0.809016994
0.8,0.587785252
0.9,0.309016994
1,0
1.1,-0.309016994
1.2,-0.587785252
1.3,-0.809016994
1.4,-0.951056516
1.5,-1
1.6,-0.951056516
1.7,-0.809016994
1.8,-0.587785252
1.9,-0.309016994
2,0
2.1,0.309016994
2.2,0.587785252
2.3,0.809016994
2.4,0.951056516
2.5,1
2.6,0.951056516
2.7,0.809016994
2.8,0.587785252
2.9,0.309016994
3,0
3.1,-0.309016994
3.2,-0.587785252
3.3,-0.809016994
3.4,-0.951056516
3.5,-1
3.6,-0.951056516
3.7,-0.809016994
3.8,-0.587785252
3.9,-0.309016994
4,0
4.1,0.309016994
4.2,0.587785252
4.3,0.809016994
4.4,0.951056516
4.5,1
4.6,0.951056516
4.7,0.809016994
4.8,0.587785252
4.9,0.309016994
5,0
5.1,-0.309016994
5.2,-0.587785252
5.3,-0.809016994
5.4,-0.951056516
5.5,-1
5.6,-0.951056516
5.7,-0.809016994
5.8,-0.587785252
5.9,-0.309016994
6,0
6.1,0.309016994
6.2,0.587785252
6.3,0.809016994
6.4,0.951056516
6.5,1
6.6,0.951056516
6.7,0.809016994
6.8,0.587785252
6.9,0.309016994
7,0
7.1,-0.309016994
7.2,-0.587785252
7.3,-0.809016994
7.4,-0.951056516
7.5,-1
7.6,-0.951056516
7.7,-0.809016994
7.8,-0.587785252
7.9,-0.309016994
8,0
8.1,0.309016994
8.2,0.587785252
8.3,0.809016994
8.4,0.951056516
8.5,1
8.6,0.951056516
8.7,0.809016994
8.8,0.587785252
8.9,0.309016994
9,0
9.1,-0.309016994
9.2,-0.587785252
9.3,-0.809016994
9.4,-0.951056516
9.5,-1
9.6,-0.951056516
9.7,-0.809016994
9.8,-0.587785252
9.9,-0.309016994
10,0
10.1,0.309016994
10.2,0.587785252
10.3,0.809016994
10.4,0.951056516
10.5,1
10.6,0.951056516
10.7,0.809016994
10.8,0.587785252
10.9,0.309016994
11,0
11.1,-0.309016994
11.2,-0.587785252
11.3,-0.809016994
11.4,-0.951056516
11.5,-1
11.6,-0.951056516
11.7,-0.809016994
11.8,-0.587785252
11.9,-0.309016994
12,0
12.1,0.309016994
12.2,0.587785252
12.3,0.809016994
12.4,0.951056516
12.5,1
12.6,0.951056516
12.7,0.809016994
12.8,0.587785252
12.9,0.309016994
13,0
13.1,-0.309016994
13.2,-0.587785252
13.3,-0.809016994
13.4,-0.951056516
13.5,-1
13.6,-0.951056516
13.7,-0.809016994
13.8,-0.587785252
13.9,-0.309016994
14,0
14.1,0.309016994
14.2,0.587785252
14.3,0.809016994
14.4,0.951056516
14.5,1
14.6,0.951056516
14.7,0.809016994
14.8,0.587785252
14.9,0.309016994
15,0
15.1,-0.309016994
15.2,-0.587785252
15.3,-0.809016994
15.4,-0.951056516
15.5,-1
15.6,-0.951056516
15.7,-0.809016994
15.8,-0.587785252
15.9,-0.309016994
16,0
16.1,0.309016994
16.2,0.587785252
16.3,0.809016994
16.4,0.951056516
16.5,1
16.6,0.951056516
16.7,0.809016994
16.8,0.587785252
16.9,0.309016994
17,0
17.1,-0.309016994
17.2,-0.587785252
17.3,-0.809016994
17.4,-0.951056516
17.5,-1
17.6,-0.951056516
17.7,-0.809016994
17.8,-0.587785252
17.9,-0.309016994
18,0
18.1,0.309016994
18.2,0.587785252
18.3,0.809016994
18.4,0.951056516
18.5,1
18.6,0.951056516
18.7,0.809016994
18.8,0.587785252
18.9,0.309016994
19,0
19.1,-0.309016994
19.2,-0.587785252
19.3,-0.809016994
19.4,-0.951056516
19.5,-1
19.6,-0.951056516
19.7,-0.809016994
19.8,-0.587785252
19.9,-0.309016994
